Wed Aug 27 2025 12:30:38 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/videos/library/videos? 204 - 0.033 ms
Wed Aug 27 2025 12:30:38 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/category 204 - 0.049 ms
Wed Aug 27 2025 12:30:38 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/users/profile 304 - 7.935 ms
Wed Aug 27 2025 12:30:38 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/videos/library/videos? 304 - 13.592 ms
Wed Aug 27 2025 12:30:38 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/category 304 - 18.979 ms
Wed Aug 27 2025 12:30:38 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/category/category-all-videos/6899d41b0319393bfdd4f435 304 - 21.759 ms
Wed Aug 27 2025 12:30:38 [SERVER-NAME] info: 10.10.7.48 - GET //image/young-woman-doing-yoga-in-nature-video-1756267358857.jpg 304 - 0.270 ms
Wed Aug 27 2025 12:30:44 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/videos/management/get-single-video-for-admin/68ac4415da59c236c7089800 204 - 0.056 ms
Wed Aug 27 2025 12:30:44 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/videos/management/get-single-video-for-admin/68ac4415da59c236c7089800 200 - 3.005 ms
Wed Aug 27 2025 12:30:48 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/videos/management/update-by-admin/68ac4415da59c236c7089800 204 - 0.058 ms
Wed Aug 27 2025 12:30:48 [SERVER-NAME] info: 10.10.7.48 - PUT /api/v1/admin/videos/management/update-by-admin/68ac4415da59c236c7089800 200 - 5.956 ms
Wed Aug 27 2025 12:30:48 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/videos/library/videos? 204 - 0.061 ms
Wed Aug 27 2025 12:30:48 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/category/category-all-videos/6899d41b0319393bfdd4f435 204 - 0.057 ms
Wed Aug 27 2025 12:30:48 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/videos/library/videos? 304 - 10.490 ms
Wed Aug 27 2025 12:30:48 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/category/category-all-videos/6899d41b0319393bfdd4f435 200 - 11.590 ms
Wed Aug 27 2025 12:35:36 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/videos/management/get-single-video-for-admin/68ac4415da59c236c7089800 204 - 0.097 ms
Wed Aug 27 2025 12:35:36 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/videos/management/get-single-video-for-admin/68ac4415da59c236c7089800 200 - 4.187 ms
Wed Aug 27 2025 12:35:45 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/videos/management/update-by-admin/68ac4415da59c236c7089800 204 - 0.066 ms
Wed Aug 27 2025 12:35:45 [SERVER-NAME] info: 10.10.7.48 - PUT /api/v1/admin/videos/management/update-by-admin/68ac4415da59c236c7089800 200 - 7.351 ms
Wed Aug 27 2025 12:35:45 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/videos/library/videos? 204 - 0.073 ms
Wed Aug 27 2025 12:35:45 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/category/category-all-videos/6899d41b0319393bfdd4f435 204 - 0.058 ms
Wed Aug 27 2025 12:35:45 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/videos/library/videos? 304 - 14.177 ms
Wed Aug 27 2025 12:35:45 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/category/category-all-videos/6899d41b0319393bfdd4f435 200 - 21.746 ms
Wed Aug 27 2025 12:35:54 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/videos/management/update-by-admin/68ac4415da59c236c7089800 204 - 0.046 ms
Wed Aug 27 2025 12:35:54 [SERVER-NAME] info: 10.10.7.48 - PUT /api/v1/admin/videos/management/update-by-admin/68ac4415da59c236c7089800 200 - 4.901 ms
Wed Aug 27 2025 12:35:54 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/videos/library/videos? 204 - 0.045 ms
Wed Aug 27 2025 12:35:54 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/category/category-all-videos/6899d41b0319393bfdd4f435 204 - 0.038 ms
Wed Aug 27 2025 12:35:54 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/videos/library/videos? 304 - 6.774 ms
Wed Aug 27 2025 12:35:54 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/category/category-all-videos/6899d41b0319393bfdd4f435 200 - 12.476 ms
Wed Aug 27 2025 12:36:7 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/videos/management/update-by-admin/68ac4415da59c236c7089800 204 - 0.077 ms
Wed Aug 27 2025 12:36:7 [SERVER-NAME] info: 10.10.7.48 - PUT /api/v1/admin/videos/management/update-by-admin/68ac4415da59c236c7089800 200 - 6.368 ms
Wed Aug 27 2025 12:36:7 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/videos/library/videos? 204 - 0.052 ms
Wed Aug 27 2025 12:36:7 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/category/category-all-videos/6899d41b0319393bfdd4f435 204 - 0.055 ms
Wed Aug 27 2025 12:36:7 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/videos/library/videos? 304 - 7.264 ms
Wed Aug 27 2025 12:36:7 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/category/category-all-videos/6899d41b0319393bfdd4f435 200 - 9.378 ms
Wed Aug 27 2025 12:36:12 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/users/profile 204 - 0.069 ms
Wed Aug 27 2025 12:36:12 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/category 204 - 0.065 ms
Wed Aug 27 2025 12:36:12 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/users/profile 304 - 13.265 ms
Wed Aug 27 2025 12:36:12 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/videos/library/videos? 304 - 16.659 ms
Wed Aug 27 2025 12:36:12 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/category/category-all-videos/6899d41b0319393bfdd4f435 304 - 24.711 ms
Wed Aug 27 2025 12:36:12 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/category 304 - 18.860 ms
Wed Aug 27 2025 12:36:12 [SERVER-NAME] info: 10.10.7.48 - GET //image/young-woman-doing-yoga-in-nature-video-1756267358857.jpg 304 - 0.271 ms
Wed Aug 27 2025 12:36:14 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/videos/management/get-single-video-for-admin/68ac4415da59c236c7089800 204 - 0.046 ms
Wed Aug 27 2025 12:36:14 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/videos/management/get-single-video-for-admin/68ac4415da59c236c7089800 200 - 2.994 ms
Wed Aug 27 2025 12:40:24 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/dashboard/statistics 204 - 0.092 ms
Wed Aug 27 2025 12:40:24 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/dashboard/statistics 304 - 6.518 ms
Wed Aug 27 2025 12:40:24 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/dashboard/revenue 204 - 0.044 ms
Wed Aug 27 2025 12:40:24 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/dashboard/resent-users 204 - 0.056 ms
Wed Aug 27 2025 12:40:24 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/dashboard/revenue 304 - 4.511 ms
Wed Aug 27 2025 12:40:24 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/dashboard/resent-users 304 - 5.505 ms
Wed Aug 27 2025 12:40:25 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/user/management? 204 - 0.100 ms
Wed Aug 27 2025 12:40:25 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/user/management? 304 - 4.156 ms
Wed Aug 27 2025 12:40:25 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/user/management?limit=10&page=1 204 - 0.050 ms
Wed Aug 27 2025 12:40:25 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/user/management?limit=10&page=1 304 - 4.682 ms
Wed Aug 27 2025 12:40:27 [SERVER-NAME] info: 10.10.7.48 - GET //thumbnail/image-11-1754911771507.png 304 - 1.505 ms
Wed Aug 27 2025 12:40:27 [SERVER-NAME] info: 10.10.7.48 - GET //thumbnail/yellow-2708363-1755692741197.jpg 304 - 2.003 ms
Wed Aug 27 2025 12:40:27 [SERVER-NAME] info: 10.10.7.48 - GET //thumbnail/link---zoanthids-%C3%A2%C2%86%C2%92-coralstashicon2.png-1754911760194.png 304 - 2.340 ms
Wed Aug 27 2025 12:40:30 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/videos/library/videos?page=1&limit=10 204 - 0.057 ms
Wed Aug 27 2025 12:40:30 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/videos/library/videos?page=1&limit=10 304 - 5.969 ms
Wed Aug 27 2025 12:40:30 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/comingSoon 204 - 0.065 ms
Wed Aug 27 2025 12:40:30 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/comingSoon 304 - 5.187 ms
Wed Aug 27 2025 12:40:31 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/challenge-category/get-all-challenge-category 204 - 0.185 ms
Wed Aug 27 2025 12:40:31 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/challenge-category/get-all-challenge-category 304 - 14.358 ms
Wed Aug 27 2025 12:40:31 [SERVER-NAME] info: 10.10.7.48 - GET //image/young-woman-doing-yoga-in-nature-video-1756208892126.jpg 304 - 0.886 ms
Wed Aug 27 2025 12:40:31 [SERVER-NAME] info: 10.10.7.48 - GET //image/videoblocks-v1-0011_20221110-as-semenov-sport-in-the-morning-2-outdoor00000000_heeiyvvr2j_thumbnail-180_07-1756181438957.jpg 304 - 1.376 ms
Wed Aug 27 2025 12:40:32 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/dailyInspiration 204 - 0.161 ms
Wed Aug 27 2025 12:40:32 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/dailyInspiration 304 - 5.980 ms
Wed Aug 27 2025 12:40:33 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/post/management?page=1&limit=12 204 - 0.099 ms
Wed Aug 27 2025 12:40:33 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/post/management?page=1&limit=12 200 - 8.244 ms
Wed Aug 27 2025 12:40:36 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/package/management 204 - 0.093 ms
Wed Aug 27 2025 12:40:36 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/package/management 304 - 15.597 ms
Wed Aug 27 2025 12:40:36 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/subscription?page=1&limit=10 204 - 0.211 ms
Wed Aug 27 2025 12:40:36 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/subscription?page=1&limit=10 200 - 11.833 ms
Wed Aug 27 2025 12:40:37 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/subscription?page=1&limit=10&page=1&limit=10 204 - 0.082 ms
Wed Aug 27 2025 12:40:37 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/subscription?page=1&limit=10&page=1&limit=10 200 - 6.355 ms
Wed Aug 27 2025 12:40:40 [SERVER-NAME] info: 10.10.7.48 - GET //thumbnail/image-11-1754911771507.png 304 - 2.064 ms
Wed Aug 27 2025 12:40:40 [SERVER-NAME] info: 10.10.7.48 - GET //thumbnail/yellow-2708363-1755692741197.jpg 304 - 1.524 ms
Wed Aug 27 2025 12:40:40 [SERVER-NAME] info: 10.10.7.48 - GET //thumbnail/link---zoanthids-%C3%A2%C2%86%C2%92-coralstashicon2.png-1754911760194.png 304 - 0.389 ms
