Sat Jul 19 2025 9:17:56 [SERVER-NAME] info: [32mConfig validation successful.[39m
Sat Jul 19 2025 9:17:56 [SERVER-NAME] info: [32m🚀 Database connected successfully[39m
Sat Jul 19 2025 9:17:56 [SERVER-NAME] info: [33m♻️  Socket is listening on same port 7000[39m
Sat Jul 19 2025 9:34:45 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/687b123fc6447d1636ca9c9a 204 - 0.171 ms
Sat Jul 19 2025 9:34:45 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/687b123fc6447d1636ca9c9a 304 - 5.698 ms
Sat Jul 19 2025 9:34:45 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/get-challenges-videos/6874f9b3c579d8a1fb53facf 304 - 9.256 ms
Sat Jul 19 2025 9:34:56 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/dailyInspiration 204 - 0.118 ms
Sat Jul 19 2025 9:34:56 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/dailyInspiration/scheduled 204 - 0.061 ms
Sat Jul 19 2025 9:34:56 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/dailyInspiration 200 - 17.695 ms
Sat Jul 19 2025 9:34:58 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/dailyInspiration/687b11e0c6447d1636ca9c69 204 - 0.045 ms
Sat Jul 19 2025 9:34:58 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/dailyInspiration/687b11e0c6447d1636ca9c69 200 - 3.922 ms
Sat Jul 19 2025 9:35:5 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/dailyInspiration/687b11e0c6447d1636ca9c69 204 - 0.058 ms
Sat Jul 19 2025 9:35:5 [SERVER-NAME] info: 10.10.7.104 - PATCH /api/v1/admin/dailyInspiration/687b11e0c6447d1636ca9c69 200 - 8.180 ms
Sat Jul 19 2025 9:35:5 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/dailyInspiration 204 - 0.039 ms
Sat Jul 19 2025 9:35:5 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/dailyInspiration 200 - 7.928 ms
Sat Jul 19 2025 9:35:8 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge-category/get-all-challenge-category 204 - 0.046 ms
Sat Jul 19 2025 9:35:8 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge-category/get-all-challenge-category 304 - 5.634 ms
Sat Jul 19 2025 9:35:8 [SERVER-NAME] info: 10.10.7.104 - GET //image/image-3-1752496563677.png 304 - 2.131 ms
Sat Jul 19 2025 9:35:8 [SERVER-NAME] info: 10.10.7.104 - GET //image/class-meditation-hands-woman-nature-260nw-2603763821-1752299564654.jpg 304 - 2.192 ms
Sat Jul 19 2025 9:35:8 [SERVER-NAME] info: 10.10.7.104 - GET //image/class-meditation-hands-woman-nature-260nw-2603763821-1752497273729.jpg 304 - 2.733 ms
Sat Jul 19 2025 9:35:8 [SERVER-NAME] info: 10.10.7.104 - GET //image/yoga-workout-people-studio-class-260nw-2535975187-1752497253238.jpg 304 - 3.930 ms
Sat Jul 19 2025 9:35:12 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/get-challenges-videos/6871f82c5d166b8629faac54 204 - 0.154 ms
Sat Jul 19 2025 9:35:12 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/get-challenges-videos/6871f82c5d166b8629faac54 200 - 9.149 ms
Sat Jul 19 2025 9:35:17 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/68725dc76524db119b02e0f8 204 - 0.163 ms
Sat Jul 19 2025 9:35:17 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/68725dc76524db119b02e0f8 200 - 4.964 ms
Sat Jul 19 2025 9:35:29 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/schedule-create 204 - 0.230 ms
Sat Jul 19 2025 9:35:29 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/get-challenges-videos/6871f82c5d166b8629faac54 204 - 0.101 ms
Sat Jul 19 2025 9:35:29 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/68725dc76524db119b02e0f8 204 - 0.056 ms
Sat Jul 19 2025 9:35:29 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/68725dc76524db119b02e0f8 304 - 10.829 ms
Sat Jul 19 2025 9:35:29 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/get-challenges-videos/6871f82c5d166b8629faac54 304 - 20.663 ms
Sat Jul 19 2025 9:39:32 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/users/profile 204 - 0.061 ms
Sat Jul 19 2025 9:39:32 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/get-challenges-videos/6871f82c5d166b8629faac54 204 - 0.032 ms
Sat Jul 19 2025 9:39:32 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/videos/managment/videos? 204 - 0.031 ms
Sat Jul 19 2025 9:39:32 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/users/profile 304 - 8.973 ms
Sat Jul 19 2025 9:39:32 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/get-challenges-videos/6871f82c5d166b8629faac54 304 - 13.488 ms
Sat Jul 19 2025 9:39:32 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/videos/managment/videos? 304 - 20.627 ms
Sat Jul 19 2025 9:39:32 [SERVER-NAME] info: 10.10.7.104 - GET //image/image-3-1752495501665.png 304 - 0.830 ms
Sat Jul 19 2025 9:39:35 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/68725dc76524db119b02e0f8 204 - 0.086 ms
Sat Jul 19 2025 9:39:35 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/68725dc76524db119b02e0f8 304 - 6.339 ms
Sat Jul 19 2025 9:39:51 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge-category/update-challenge-category/68725dc76524db119b02e0f8 204 - 0.045 ms
Sat Jul 19 2025 9:39:51 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/68725dc76524db119b02e0f8 204 - 0.145 ms
Sat Jul 19 2025 9:39:51 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/get-challenges-videos/6871f82c5d166b8629faac54 204 - 0.064 ms
Sat Jul 19 2025 9:39:51 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/68725dc76524db119b02e0f8 304 - 6.087 ms
Sat Jul 19 2025 9:39:51 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/get-challenges-videos/6871f82c5d166b8629faac54 304 - 9.447 ms
Sat Jul 19 2025 9:40:12 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/users/profile 204 - 0.050 ms
Sat Jul 19 2025 9:40:12 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/get-challenges-videos/6871f82c5d166b8629faac54 204 - 0.065 ms
Sat Jul 19 2025 9:40:12 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/videos/managment/videos? 204 - 0.045 ms
Sat Jul 19 2025 9:40:12 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/users/profile 304 - 7.361 ms
Sat Jul 19 2025 9:40:12 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/get-challenges-videos/6871f82c5d166b8629faac54 304 - 12.917 ms
Sat Jul 19 2025 9:40:12 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/videos/managment/videos? 304 - 16.500 ms
Sat Jul 19 2025 9:40:12 [SERVER-NAME] info: 10.10.7.104 - GET //image/image-3-1752495501665.png 304 - 1.450 ms
Sat Jul 19 2025 9:40:18 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/68725dc76524db119b02e0f8 204 - 0.131 ms
Sat Jul 19 2025 9:40:18 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/68725dc76524db119b02e0f8 304 - 5.083 ms
Sat Jul 19 2025 9:40:26 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/users/profile 204 - 0.288 ms
Sat Jul 19 2025 9:40:26 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/get-challenges-videos/6871f82c5d166b8629faac54 204 - 0.112 ms
Sat Jul 19 2025 9:40:26 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/videos/managment/videos? 204 - 0.038 ms
Sat Jul 19 2025 9:40:26 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/users/profile 304 - 15.751 ms
Sat Jul 19 2025 9:40:26 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/get-challenges-videos/6871f82c5d166b8629faac54 304 - 19.073 ms
Sat Jul 19 2025 9:40:26 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/videos/managment/videos? 304 - 23.714 ms
Sat Jul 19 2025 9:40:26 [SERVER-NAME] info: 10.10.7.104 - GET //image/image-3-1752495501665.png 304 - 0.285 ms
Sat Jul 19 2025 9:40:30 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/68725dc76524db119b02e0f8 204 - 0.059 ms
Sat Jul 19 2025 9:40:30 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/68725dc76524db119b02e0f8 304 - 3.823 ms
Sat Jul 19 2025 9:40:45 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/68725b8d6524db119b02e083 204 - 0.100 ms
Sat Jul 19 2025 9:40:45 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/68725b8d6524db119b02e083 200 - 4.096 ms
Sat Jul 19 2025 9:41:0 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge-category/update-challenge-category/68725b8d6524db119b02e083 204 - 0.059 ms
Sat Jul 19 2025 9:41:0 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/68725b8d6524db119b02e083 204 - 0.057 ms
Sat Jul 19 2025 9:41:0 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/get-challenges-videos/6871f82c5d166b8629faac54 204 - 0.053 ms
Sat Jul 19 2025 9:41:0 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/68725b8d6524db119b02e083 304 - 6.532 ms
Sat Jul 19 2025 9:41:0 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/get-challenges-videos/6871f82c5d166b8629faac54 304 - 9.059 ms
Sat Jul 19 2025 9:42:53 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/users/profile 204 - 0.055 ms
Sat Jul 19 2025 9:42:53 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/get-challenges-videos/6871f82c5d166b8629faac54 204 - 0.045 ms
Sat Jul 19 2025 9:42:53 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/videos/managment/videos? 204 - 0.049 ms
Sat Jul 19 2025 9:42:53 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/users/profile 304 - 9.308 ms
Sat Jul 19 2025 9:42:53 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/get-challenges-videos/6871f82c5d166b8629faac54 304 - 14.012 ms
Sat Jul 19 2025 9:42:53 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/videos/managment/videos? 304 - 15.214 ms
Sat Jul 19 2025 9:42:53 [SERVER-NAME] info: 10.10.7.104 - GET //image/image-3-1752495501665.png 304 - 0.510 ms
Sat Jul 19 2025 9:42:57 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/68725dc76524db119b02e0f8 204 - 0.136 ms
Sat Jul 19 2025 9:42:57 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/68725dc76524db119b02e0f8 304 - 5.403 ms
Sat Jul 19 2025 9:43:5 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge-category/update-challenge-category/68725dc76524db119b02e0f8 204 - 0.114 ms
Sat Jul 19 2025 9:43:5 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/68725dc76524db119b02e0f8 204 - 0.039 ms
Sat Jul 19 2025 9:43:5 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/get-challenges-videos/6871f82c5d166b8629faac54 204 - 0.030 ms
Sat Jul 19 2025 9:43:5 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/68725dc76524db119b02e0f8 304 - 5.255 ms
Sat Jul 19 2025 9:43:5 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/get-challenges-videos/6871f82c5d166b8629faac54 304 - 7.171 ms
Sat Jul 19 2025 9:49:14 [SERVER-NAME] info: 10.10.7.104 - POST /api/v1/auth/login 200 - 233.193 ms
Sat Jul 19 2025 9:49:50 [SERVER-NAME] info: 10.10.7.37 - OPTIONS /api/v1/users/profile 204 - 0.058 ms
Sat Jul 19 2025 9:49:50 [SERVER-NAME] info: 10.10.7.37 - OPTIONS /api/v1/admin/dailyInspiration 204 - 0.040 ms
Sat Jul 19 2025 9:49:50 [SERVER-NAME] info: 10.10.7.37 - OPTIONS /api/v1/admin/videos/managment/videos? 204 - 0.032 ms
